Timestamp,MBean Name,Value
2020-05-15 00:03:30.802,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:03:30.803,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2046985
2020-05-15 00:03:30.804,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:03:40.805,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:03:40.805,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2047370
2020-05-15 00:03:40.806,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:03:50.818,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:03:50.819,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2047370
2020-05-15 00:03:50.819,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:04:00.809,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:04:00.810,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2047370
2020-05-15 00:04:00.810,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:04:10.802,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:04:10.803,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2047370
2020-05-15 00:04:10.803,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:04:20.804,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:04:20.804,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2047370
2020-05-15 00:04:20.805,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:04:30.813,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:04:30.814,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2047370
2020-05-15 00:04:30.814,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:04:40.807,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:04:40.808,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2047755
2020-05-15 00:04:40.808,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:04:50.814,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:04:50.814,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2047755
2020-05-15 00:04:50.815,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:05:00.830,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:05:00.830,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2047755
2020-05-15 00:05:00.831,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:05:10.802,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:05:10.803,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2047755
2020-05-15 00:05:10.804,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:05:20.801,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:05:20.801,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2047755
2020-05-15 00:05:20.802,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:05:30.810,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:05:30.811,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2047755
2020-05-15 00:05:30.811,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:05:40.804,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:05:40.805,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2048140
2020-05-15 00:05:40.805,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:05:50.806,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:05:50.807,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2048140
2020-05-15 00:05:50.807,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:06:00.801,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:06:00.801,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2048140
2020-05-15 00:06:00.802,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:06:10.800,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:06:10.801,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2048140
2020-05-15 00:06:10.801,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:06:20.796,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:06:20.797,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2048140
2020-05-15 00:06:20.797,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:06:30.806,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:06:30.807,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2048140
2020-05-15 00:06:30.807,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:06:40.807,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:06:40.808,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2048525
2020-05-15 00:06:40.808,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:06:50.813,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:06:50.813,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2048525
2020-05-15 00:06:50.814,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:07:00.804,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:07:00.805,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2048525
2020-05-15 00:07:00.805,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:07:10.804,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:07:10.805,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2048525
2020-05-15 00:07:10.806,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:07:20.823,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:07:20.824,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2048525
2020-05-15 00:07:20.824,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
2020-05-15 00:07:30.809,org.apache.cassandra.metrics:type=Compaction:name=PendingTasks,0
2020-05-15 00:07:30.810,org.apache.cassandra.metrics:type=Compaction:name=CompletedTasks,2048525
2020-05-15 00:07:30.810,org.apache.cassandra.metrics:type=Compaction:name=TotalCompactionsCompleted,486354
