StartDateTime;EndDateTime;Task;Number of calls (N);Min wait (ms);Max wait (ms);Mean wait (ms);Tps;Mean * N;Success rate (%);Number of failures;Number of errors;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.poll.rmca.notification_data;3300;0.02;2.70;0.15;5.51;499;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.40.sync-getRecursive.cpm_partition__3.party;308;0.36;20.02;1.62;0.52;498;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.22.poll.ntf.notification_data;3000;0.02;2.55;0.16;5.01;477;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.getRecursive.cha_partition__1.customer_ha;134;0.55;20.10;3.50;0.22;468;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.getRecursive.cpm_partition__3.customers;144;0.74;8.85;3.23;0.24;465;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.getRecursive.cha_partition__2.customer_ha;136;0.63;18.78;3.42;0.23;464;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.poll.cpm_partition__2.topic_data;1966;0.04;3.79;0.23;3.28;450;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.59.poll.coba.notification_data;2700;0.02;1.93;0.17;4.51;447;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.getRecursive.cha_partition__2.customer_ha;110;0.49;53.07;4.00;0.18;439;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.getRecursive.cha_partition__1.customer_ha;121;0.51;21.42;3.55;0.20;429;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.29.poll.cpm_partition__2.topic_data;1968;0.03;2.08;0.21;3.28;421;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.getRecursive.cha_partition__3.customer_ha;127;0.44;50.92;3.31;0.21;420;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.sync-get.cpm.partition_lookup;512;0.32;18.85;0.78;0.86;401;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.29.poll.cpm_partition__1.topic_data;1964;0.03;2.97;0.20;3.27;391;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.getRecursive.cha_partition__3.customer_ttl;127;0.45;50.80;3.04;0.21;385;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.getRecursive.cha_partition__2.customer_la;136;0.50;11.71;2.83;0.23;385;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.getRecursive.cha_partition__2.customer_la;111;0.51;51.60;3.43;0.19;380;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.sync-get.cpm_partition__2.consumerlist;196;0.31;36.34;1.92;0.33;377;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.getRecursive.cha_partition__2.customer_ttl;135;0.50;12.98;2.68;0.23;362;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.getRecursive.cha_partition__2.customer_ttl;111;0.45;51.40;3.23;0.19;358;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.getRecursive.cha_partition__1.customer_ttl;121;0.46;23.41;2.92;0.20;353;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.getRecursive.cha_partition__1.customer_la;121;0.48;21.65;2.92;0.20;353;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.29.poll.cha_partition__3.topic_data;1968;0.02;3.67;0.18;3.28;351;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.getRecursiveIterator.cpm_partition__1.scheduler_tasks;741;0.23;14.52;0.46;1.29;341;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.sync-get.cpm_partition__3.consumerlist;180;0.34;17.84;1.88;0.30;338;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.sync-getRecursive.cpm_partition__2.consumerlist_validity;212;0.30;13.04;1.57;0.35;333;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.getRecursive.cha_partition__1.customer_ttl;134;0.40;20.47;2.48;0.22;332;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.sync-get.cpm_partition__1.consumerlist;164;0.34;17.77;2.01;0.27;328;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.getRecursive.cha_partition__1.customer_la;134;0.45;20.59;2.46;0.22;328;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.getRecursive.cha_partition__3.customer_la;127;0.45;23.07;2.48;0.21;315;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.sync-getRecursive.cpm_partition__1.consumerlist_validity;183;0.30;19.97;1.72;0.31;314;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.poll.cha_partition__2.topic_data;1966;0.03;1.98;0.16;3.28;308;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.getRecursiveIterator.cpm_partition__3.scheduler_tasks;741;0.22;8.53;0.41;1.29;303;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.getRecursiveIterator.cpm_partition__2.scheduler_tasks;741;0.22;8.81;0.41;1.29;303;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.getRecursive.cha_partition__3.customer_ha;112;0.48;7.27;2.44;0.19;273;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.getRecursive.cha_partition__3.customer_ttl;112;0.52;9.25;2.32;0.19;259;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.sync-getRecursive.cpm_partition__3.consumerlist_validity;188;0.32;13.61;1.34;0.32;251;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.sync-getRecursiveWithRange.cpm_partition__1.consumerlist_validity;187;0.31;21.02;1.28;0.31;238;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.getRecursive.cha_partition__3.customer_la;112;0.42;7.58;2.11;0.19;236;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.sync-getRecursiveWithRange.cpm_partition__2.consumerlist_validity;174;0.34;11.20;1.31;0.29;228;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.sync-getRecursiveWithRange.cpm_partition__3.consumerlist_validity;165;0.32;16.15;1.31;0.29;215;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.heartbeat.cpm_partition__1.notification_data;1000;0.04;1.02;0.15;1.68;145;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.22.heartbeat.ntf.notification_data;1001;0.04;1.27;0.14;1.67;143;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.22.poll.coba.notification_data;900;0.02;1.11;0.14;1.50;130;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.heartbeat.cpm_partition__2.notification_data;800;0.03;0.81;0.16;1.33;125;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.59.heartbeat.rmca.notification_data;600;0.06;6.68;0.20;1.00;118;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.25.heartbeat.coba.notification_data;600;0.04;0.60;0.16;1.00;94;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.7.poll.cil.notification_data;300;0.10;1.44;0.31;0.50;91;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.6.poll.cil.notification_data;300;0.10;0.83;0.28;0.50;84;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.62.heartbeat.cil.notification_data;390;0.10;1.87;0.21;0.65;83;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.8.poll.cil.notification_data;300;0.08;1.05;0.25;0.50;73;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.14.heartbeat.cil.notification_data;390;0.10;2.38;0.18;0.65;70;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.heartbeat.cpm_partition__3.notification_data;400;0.08;0.76;0.17;0.67;68;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.11.heartbeat.cil.notification_data;400;0.09;0.65;0.17;0.67;68;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.heartbeat.cpm.notification_data;400;0.05;1.00;0.17;0.67;67;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.12.heartbeat.cil.notification_data;390;0.10;0.27;0.16;0.65;61;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.29.poll.coba.notification_data;300;0.04;1.22;0.20;0.50;59;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.poll.cpm_partition__1.notification_data;300;0.05;1.55;0.20;0.50;58;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.7.repair.system_distributed.repair_history;6;6.98;11.58;9.22;0.01;55;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.poll.coba.notification_data;300;0.03;1.29;0.17;0.50;50;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.heartbeat.cil.notification_data;200;0.12;0.68;0.22;0.33;43;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.40.heartbeat.cil.notification_data;200;0.13;0.79;0.21;0.33;41;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.59.heartbeat.cil.notification_data;200;0.12;0.64;0.20;0.33;40;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.heartbeat.cil.notification_data;200;0.12;0.99;0.20;0.33;40;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.6.repair.system_distributed.repair_history;4;6.14;11.63;9.93;0.01;39;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.28.heartbeat.cil.notification_data;200;0.12;0.74;0.19;0.33;38;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.7.heartbeat.cil.notification_data;200;0.11;0.45;0.19;0.33;38;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.heartbeat.cil.notification_data;200;0.11;0.60;0.18;0.33;36;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.6.heartbeat.cil.notification_data;200;0.12;0.54;0.18;0.33;36;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.22.heartbeat.cil.notification_data;200;0.11;0.33;0.17;0.33;34;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.46.heartbeat.cil.notification_data;200;0.10;0.45;0.17;0.33;34;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.heartbeat.cil.notification_data;200;0.09;0.28;0.17;0.33;33;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.25.heartbeat.cil.notification_data;190;0.10;2.71;0.17;0.32;33;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.29.heartbeat.cil.notification_data;200;0.10;1.17;0.17;0.33;33;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.5.heartbeat.cil.notification_data;200;0.09;0.37;0.16;0.33;32;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.8.repair.system_distributed.repair_history;3;6.51;14.67;10.63;0.01;31;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.8.heartbeat.cil.notification_data;200;0.09;0.29;0.15;0.33;29;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.heartbeat.cpm_partition__3.notification_data;200;0.05;0.25;0.07;0.33;14;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.6.repair.system_locks.lock;6;1.82;4.31;2.33;0.01;13;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.29.heartbeat.cpm_partition__1.notification_data;200;0.05;0.36;0.07;0.33;13;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.8.repair.system_locks.lock;6;1.15;2.41;2.01;0.01;12;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.7.repair.system_locks.lock;5;1.06;4.59;2.28;0.01;11;100.00;0;0;
