pod,timestamp,value
eric-bss-cil-database-cd-cil1-rack3-0,1669203642.286,0.001629722
eric-bss-cil-database-cd-cil1-rack4-0,1669203642.286,0.014530764
eric-bss-cil-database-cd-cil1-rack1-0,1669203649.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203649.286,0.001629722
eric-bss-cil-database-cd-cil1-rack3-0,1669203649.286,0.001629722
eric-bss-cil-database-cd-cil1-rack4-0,1669203649.286,0.014530764
eric-bss-cil-database-cd-cil1-rack1-0,1669203656.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203656.286,0.001629722
eric-bss-cil-database-cd-cil1-rack3-0,1669203656.286,0.001629722
eric-bss-cil-database-cd-cil1-rack4-0,1669203656.286,0.014530764
eric-bss-cil-database-cd-cil1-rack1-0,1669203663.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203663.286,0.001629722
eric-bss-cil-database-cd-cil1-rack3-0,1669203663.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203663.286,0.014530764
eric-bss-cil-database-cd-cil1-rack1-0,1669203670.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203670.286,0.001629722
eric-bss-cil-database-cd-cil1-rack3-0,1669203670.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203670.286,0.014530764
eric-bss-cil-database-cd-cil1-rack1-0,1669203677.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203677.286,0.001629722
eric-bss-cil-database-cd-cil1-rack3-0,1669203677.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203677.286,0.01210897
eric-bss-cil-database-cd-cil1-rack1-0,1669203684.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203684.286,0.001629722
eric-bss-cil-database-cd-cil1-rack3-0,1669203684.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203684.286,0.01210897
eric-bss-cil-database-cd-cil1-rack1-0,1669203691.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203691.286,0.001629722
eric-bss-cil-database-cd-cil1-rack3-0,1669203691.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203691.286,0.01210897
eric-bss-cil-database-cd-cil1-rack1-0,1669203698.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203698.286,0.001629722
eric-bss-cil-database-cd-cil1-rack3-0,1669203698.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203698.286,0.01210897
eric-bss-cil-database-cd-cil1-rack1-0,1669203705.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203705.286,0.001629722
eric-bss-cil-database-cd-cil1-rack3-0,1669203705.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203705.286,0.01210897
eric-bss-cil-database-cd-cil1-rack1-0,1669203712.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203712.286,0.001358102
eric-bss-cil-database-cd-cil1-rack3-0,1669203712.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203712.286,0.01210897
eric-bss-cil-database-cd-cil1-rack1-0,1669203719.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203719.286,0.001358102
eric-bss-cil-database-cd-cil1-rack3-0,1669203719.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203719.286,0.01210897
eric-bss-cil-database-cd-cil1-rack1-0,1669203726.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203726.286,0.001358102
eric-bss-cil-database-cd-cil1-rack3-0,1669203726.286,0.10796479
eric-bss-cil-database-cd-cil1-rack4-0,1669203726.286,0.01210897
eric-bss-cil-database-cd-cil1-rack1-0,1669203733.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203733.286,0.001358102
eric-bss-cil-database-cd-cil1-rack3-0,1669203733.286,0.10796479
eric-bss-cil-database-cd-cil1-rack4-0,1669203733.286,0.01210897
eric-bss-cil-database-cd-cil1-rack1-0,1669203740.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203740.286,0.001358102
eric-bss-cil-database-cd-cil1-rack3-0,1669203740.286,0.10796479
eric-bss-cil-database-cd-cil1-rack4-0,1669203740.286,0.001629722
eric-bss-cil-database-cd-cil1-rack1-0,1669203747.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203747.286,0.001358102
eric-bss-cil-database-cd-cil1-rack3-0,1669203747.286,0.10796479
eric-bss-cil-database-cd-cil1-rack4-0,1669203747.286,0.001629722
eric-bss-cil-database-cd-cil1-rack1-0,1669203754.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203754.286,0.001358102
eric-bss-cil-database-cd-cil1-rack3-0,1669203754.286,0.10796479
eric-bss-cil-database-cd-cil1-rack4-0,1669203754.286,0.001629722
eric-bss-cil-database-cd-cil1-rack1-0,1669203761.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203761.286,0.001358102
eric-bss-cil-database-cd-cil1-rack3-0,1669203761.286,0.10796479
eric-bss-cil-database-cd-cil1-rack4-0,1669203761.286,0.001629722
eric-bss-cil-database-cd-cil1-rack1-0,1669203768.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203768.286,0.001358102
eric-bss-cil-database-cd-cil1-rack3-0,1669203768.286,0.10796479
eric-bss-cil-database-cd-cil1-rack4-0,1669203768.286,0.002346799
eric-bss-cil-database-cd-cil1-rack1-0,1669203775.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203775.286,0.002346799
eric-bss-cil-database-cd-cil1-rack3-0,1669203775.286,0.10796479
eric-bss-cil-database-cd-cil1-rack4-0,1669203775.286,0.002346799
eric-bss-cil-database-cd-cil1-rack1-0,1669203782.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203782.286,0.002346799
eric-bss-cil-database-cd-cil1-rack3-0,1669203782.286,0.10796479
eric-bss-cil-database-cd-cil1-rack4-0,1669203782.286,0.002346799
eric-bss-cil-database-cd-cil1-rack1-0,1669203789.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203789.286,0.01210897
eric-bss-cil-database-cd-cil1-rack3-0,1669203789.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203789.286,0.002346799
eric-bss-cil-database-cd-cil1-rack1-0,1669203796.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203796.286,0.01210897
eric-bss-cil-database-cd-cil1-rack3-0,1669203796.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203796.286,0.002346799
eric-bss-cil-database-cd-cil1-rack1-0,1669203803.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203803.286,0.01210897
eric-bss-cil-database-cd-cil1-rack3-0,1669203803.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203803.286,0.002346799
eric-bss-cil-database-cd-cil1-rack1-0,1669203810.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203810.286,0.01210897
eric-bss-cil-database-cd-cil1-rack3-0,1669203810.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203810.286,0.002346799
eric-bss-cil-database-cd-cil1-rack1-0,1669203817.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203817.286,0.002346799
eric-bss-cil-database-cd-cil1-rack3-0,1669203817.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203817.286,0.002346799
eric-bss-cil-database-cd-cil1-rack1-0,1669203824.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203824.286,0.002346799
eric-bss-cil-database-cd-cil1-rack3-0,1669203824.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203824.286,0.002346799
eric-bss-cil-database-cd-cil1-rack1-0,1669203831.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203831.286,0.001955666
eric-bss-cil-database-cd-cil1-rack3-0,1669203831.286,0.002816159
eric-bss-cil-database-cd-cil1-rack4-0,1669203831.286,0.004055269
eric-bss-cil-database-cd-cil1-rack1-0,1669203838.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203838.286,0.001955666
eric-bss-cil-database-cd-cil1-rack3-0,1669203838.286,0.002816159
eric-bss-cil-database-cd-cil1-rack4-0,1669203838.286,0.004055269
