#                                    _                                            _
#   ___ __ _ ___ ___  __ _ _ __   __| |_ __ __ _        _____  ___ __   ___  _ __| |_ ___ _ __
#  / __/ _` / __/ __|/ _` | '_ \ / _` | '__/ _` |_____ / _ \ \/ / '_ \ / _ \| '__| __/ _ \ '__|
# | (_| (_| \__ \__ \ (_| | | | | (_| | | | (_| |_____|  __/>  <| |_) | (_) | |  | ||  __/ |
#  \___\__,_|___/___/\__,_|_| |_|\__,_|_|  \__,_|      \___/_/\_\ .__/ \___/|_|   \__\___|_|
#                                                               |_|
#
# TYPE cassandra_node_operation_latency_seconds summary
cassandra_keyspace_effective_ownership_ratio{endpoint="192.168.225.83:7001",endpoint_datacenter="cil1",endpoint_rack="rack1",keyspace="ecchronos",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 0.9999989 1670359387046
cassandra_keyspace_effective_ownership_ratio{endpoint="192.168.225.83:7001",endpoint_datacenter="cil1",endpoint_rack="rack1",keyspace="system_auth",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 0.9999989 1670359387046
cassandra_keyspace_effective_ownership_ratio{endpoint="192.168.225.83:7001",endpoint_datacenter="cil1",endpoint_rack="rack1",keyspace="system_traces",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 0.9999989 1670359387046
cassandra_keyspace_effective_ownership_ratio{endpoint="192.168.225.83:7001",endpoint_datacenter="cil1",endpoint_rack="rack1",keyspace="system_distributed",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 0.9999989 1670359387046
cassandra_keyspace_effective_ownership_ratio{endpoint="192.168.225.83:7001",endpoint_datacenter="cil1",endpoint_rack="rack1",keyspace="cil",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 0.9999989 1670359387046
cassandra_keyspace_effective_ownership_ratio{endpoint="192.168.225.83:7001",endpoint_datacenter="cil1",endpoint_rack="rack1",keyspace="bwc",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 0.9999989 1670359387046
cassandra_keyspace_effective_ownership_ratio{endpoint="192.168.225.83:7001",endpoint_datacenter="cil1",endpoint_rack="rack1",keyspace="extpg",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 0.9999989 1670359387046
cassandra_keyspace_effective_ownership_ratio{endpoint="192.168.225.83:7001",endpoint_datacenter="cil1",endpoint_rack="rack1",keyspace="extpg_partition__1",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 0.9999989 1670359387046
cassandra_keyspace_effective_ownership_ratio{endpoint="192.168.225.83:7001",endpoint_datacenter="cil1",endpoint_rack="rack1",keyspace="cilrate",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 0.9999989 1670359387046
cassandra_keyspace_effective_ownership_ratio{endpoint="192.168.225.83:7001",endpoint_datacenter="cil1",endpoint_rack="rack1",keyspace="cilrate_part__1",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 0.9999989 1670359387046

# TYPE cassandra_storage_filesystem_bytes_total gauge
cassandra_storage_filesystem_bytes_total{spec="/dev/rbd4",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 4.993372E8 1670359387046

# TYPE cassandra_storage_filesystem_usable_bytes gauge
cassandra_storage_filesystem_usable_bytes{spec="/dev/rbd4",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 4.9146266E8 1670359387046

# TYPE cassandra_storage_filesystem_unallocated_bytes gauge
cassandra_storage_filesystem_unallocated_bytes{spec="/dev/rbd4",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 4.9565696E8 1670359387046

# HELP cassandra_os_1m_load_average 1 minute system load average (as seen by the Cassandra JVM process).
# TYPE cassandra_os_1m_load_average gauge
cassandra_os_1m_load_average{cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 0.52 1670359387046

# HELP cassandra_process_maximum_file_descriptors Maximum number of file descriptors that can be opened by the Cassandra JVM process.
# TYPE cassandra_process_maximum_file_descriptors gauge
cassandra_process_maximum_file_descriptors{cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 1048576.0 1670359387046

# HELP cassandra_process_open_file_descriptors Current number of open file descriptors in the Cassandra JVM process.
# TYPE cassandra_process_open_file_descriptors gauge
cassandra_process_open_file_descriptors{cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 162.0 1670359387046

# HELP cassandra_process_vm_committed_bytes Amount of virtual memory that is guaranteed to be available to the Cassandra JVM process.
# TYPE cassandra_process_vm_committed_bytes gauge
cassandra_process_vm_committed_bytes{cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 3.1754732E9 1670359387046

