operation,client,data,timestamp,value
putBatch,blob,cilrate/blob,1669203754.286,0.007202771997558347
get,blob,cilrate/blob,1669203761.286,0.014487292163808355
put,blob,cilrate/blob,1669203761.286,NaN
putBatch,blob,cilrate/blob,1669203761.286,0.012615179048259493
get,blob,cilrate/blob,1669203768.286,0.014487292163808355
put,blob,cilrate/blob,1669203768.286,NaN
putBatch,blob,cilrate/blob,1669203768.286,0.012615179048259493
get,blob,cilrate/blob,1669203775.286,0.011004642372298484
put,blob,cilrate/blob,1669203775.286,NaN
putBatch,blob,cilrate/blob,1669203775.286,0.009406121323961954
get,blob,cilrate/blob,1669203782.286,0.011004642372298484
put,blob,cilrate/blob,1669203782.286,NaN
putBatch,blob,cilrate/blob,1669203782.286,0.009406121323961954
get,blob,cilrate/blob,1669203789.286,0.005107900149911748
put,blob,cilrate/blob,1669203789.286,NaN
putBatch,blob,cilrate/blob,1669203789.286,0.004124190938973417
get,blob,cilrate/blob,1669203796.286,0.005107900149911748
put,blob,cilrate/blob,1669203796.286,NaN
putBatch,blob,cilrate/blob,1669203796.286,0.004124190938973417
get,blob,cilrate/blob,1669203803.286,0.0020816766702408014
put,blob,cilrate/blob,1669203803.286,NaN
putBatch,blob,cilrate/blob,1669203803.286,0.0017500934493314677
get,blob,cilrate/blob,1669203810.286,0.0020816766702408014
put,blob,cilrate/blob,1669203810.286,NaN
putBatch,blob,cilrate/blob,1669203810.286,0.0017500934493314677
get,blob,cilrate/blob,1669203817.286,0.0017263296750779952
put,blob,cilrate/blob,1669203817.286,NaN
putBatch,blob,cilrate/blob,1669203817.286,0.0015993503344882672
get,blob,cilrate/blob,1669203824.286,0.0017263296750779952
put,blob,cilrate/blob,1669203824.286,NaN
putBatch,blob,cilrate/blob,1669203824.286,0.0015993503344882672
get,blob,cilrate/blob,1669203831.286,0.0017263296750779952
put,blob,cilrate/blob,1669203831.286,NaN
putBatch,blob,cilrate/blob,1669203831.286,0.0015993503344882672
get,blob,cilrate/blob,1669203838.286,0.0024465523216186382
put,blob,cilrate/blob,1669203838.286,NaN
putBatch,blob,cilrate/blob,1669203838.286,0.0019988896586773104
get,blob,cilrate/blob,1669203845.286,0.0024465523216186382
put,blob,cilrate/blob,1669203845.286,NaN
putBatch,blob,cilrate/blob,1669203845.286,0.0019988896586773104
get,blob,cilrate/blob,1669203852.286,0.006397279045141899
put,blob,cilrate/blob,1669203852.286,NaN
putBatch,blob,cilrate/blob,1669203852.286,0.005329696743226538
get,blob,cilrate/blob,1669203859.286,0.006397279045141899
put,blob,cilrate/blob,1669203859.286,NaN
putBatch,blob,cilrate/blob,1669203859.286,0.005329696743226538
get,blob,cilrate/blob,1669203866.286,0.012054160971340752
put,blob,cilrate/blob,1669203866.286,NaN
putBatch,blob,cilrate/blob,1669203866.286,0.010474125997863726
get,blob,cilrate/blob,1669203873.286,0.012054160971340752
put,blob,cilrate/blob,1669203873.286,NaN
putBatch,blob,cilrate/blob,1669203873.286,0.010474125997863726
get,blob,cilrate/blob,1669203880.286,0.010968937943818799
put,blob,cilrate/blob,1669203880.286,NaN
putBatch,blob,cilrate/blob,1669203880.286,0.009387968828658954
get,blob,cilrate/blob,1669203887.286,0.010968937943818799
put,blob,cilrate/blob,1669203887.286,NaN
putBatch,blob,cilrate/blob,1669203887.286,0.009387968828658954
get,blob,cilrate/blob,1669203894.286,0.00833422099998603
put,blob,cilrate/blob,1669203894.286,NaN
putBatch,blob,cilrate/blob,1669203894.286,0.007003382638976389
get,blob,cilrate/blob,1669203901.286,0.00833422099998603
put,blob,cilrate/blob,1669203901.286,NaN
putBatch,blob,cilrate/blob,1669203901.286,0.007003382638976389
get,blob,cilrate/blob,1669203908.286,0.004130025776544068
put,blob,cilrate/blob,1669203908.286,NaN
putBatch,blob,cilrate/blob,1669203908.286,0.003455800689565701
get,blob,cilrate/blob,1669203915.286,0.004130025776544068
put,blob,cilrate/blob,1669203915.286,NaN
putBatch,blob,cilrate/blob,1669203915.286,0.003455800689565701
get,blob,cilrate/blob,1669203922.286,0.0024140508849316887
put,blob,cilrate/blob,1669203922.286,NaN
putBatch,blob,cilrate/blob,1669203922.286,0.001984292729684311
get,blob,cilrate/blob,1669203929.286,0.0024140508849316887
put,blob,cilrate/blob,1669203929.286,NaN
putBatch,blob,cilrate/blob,1669203929.286,0.001984292729684311
get,blob,cilrate/blob,1669203936.286,0.0024140508849316887
put,blob,cilrate/blob,1669203936.286,NaN
putBatch,blob,cilrate/blob,1669203936.286,0.001984292729684311
get,blob,cilrate/blob,1669203943.286,0.002456465485940663
put,blob,cilrate/blob,1669203943.286,NaN
putBatch,blob,cilrate/blob,1669203943.286,0.0019910476375555554
get,blob,cilrate/blob,1669203950.286,0.002456465485940663
put,blob,cilrate/blob,1669203950.286,NaN
putBatch,blob,cilrate/blob,1669203950.286,0.0019910476375555554
get,blob,cilrate/blob,1669203957.286,0.007334743224177167
put,blob,cilrate/blob,1669203957.286,NaN
putBatch,blob,cilrate/blob,1669203957.286,0.006112808983144259
get,blob,cilrate/blob,1669203964.286,0.007334743224177167
put,blob,cilrate/blob,1669203964.286,NaN
putBatch,blob,cilrate/blob,1669203964.286,0.006112808983144259
get,blob,cilrate/blob,1669203971.286,0.01244030088334638
put,blob,cilrate/blob,1669203971.286,NaN
putBatch,blob,cilrate/blob,1669203971.286,0.010833769670511154
get,blob,cilrate/blob,1669203978.286,0.01244030088334638
put,blob,cilrate/blob,1669203978.286,NaN
putBatch,blob,cilrate/blob,1669203978.286,0.010833769670511154
get,blob,cilrate/blob,1669203985.286,0.014926701781538178
put,blob,cilrate/blob,1669203985.286,NaN
putBatch,blob,cilrate/blob,1669203985.286,0.013208992373016875
get,blob,cilrate/blob,1669203992.286,0.014926701781538178
put,blob,cilrate/blob,1669203992.286,NaN
putBatch,blob,cilrate/blob,1669203992.286,0.013208992373016875
get,blob,cilrate/blob,1669203999.286,0.008691970126034862
put,blob,cilrate/blob,1669203999.286,NaN
putBatch,blob,cilrate/blob,1669203999.286,0.007287036144023708
get,blob,cilrate/blob,1669204006.286,0.008691970126034862
put,blob,cilrate/blob,1669204006.286,NaN
putBatch,blob,cilrate/blob,1669204006.286,0.007287036144023708
get,blob,cilrate/blob,1669204013.286,0.00515001695295203
put,blob,cilrate/blob,1669204013.286,NaN
putBatch,blob,cilrate/blob,1669204013.286,0.004196389329287042
get,blob,cilrate/blob,1669204020.286,0.00515001695295203
put,blob,cilrate/blob,1669204020.286,NaN
putBatch,blob,cilrate/blob,1669204020.286,0.004196389329287042
get,blob,cilrate/blob,1669204027.286,0.002175358784951349
put,blob,cilrate/blob,1669204027.286,NaN
putBatch,blob,cilrate/blob,1669204027.286,0.0017562884777271828
get,blob,cilrate/blob,1669204034.286,0.002175358784951349
put,blob,cilrate/blob,1669204034.286,NaN
putBatch,blob,cilrate/blob,1669204034.286,0.0017562884777271828
get,blob,cilrate/blob,1669204041.286,0.002175358784951349
put,blob,cilrate/blob,1669204041.286,NaN
putBatch,blob,cilrate/blob,1669204041.286,0.0017562884777271828
get,blob,cilrate/blob,1669204048.286,0.0023949399780161633
put,blob,cilrate/blob,1669204048.286,NaN
putBatch,blob,cilrate/blob,1669204048.286,0.0019012628675780644
get,blob,cilrate/blob,1669204055.286,0.0023949399780161633
put,blob,cilrate/blob,1669204055.286,NaN
putBatch,blob,cilrate/blob,1669204055.286,0.0019012628675780644
get,blob,cilrate/blob,1669204062.286,0.006356502887648464
put,blob,cilrate/blob,1669204062.286,NaN
putBatch,blob,cilrate/blob,1669204062.286,0.0050217666709599625
get,blob,cilrate/blob,1669204069.286,0.006356502887648464
put,blob,cilrate/blob,1669204069.286,NaN
putBatch,blob,cilrate/blob,1669204069.286,0.0050217666709599625
get,blob,cilrate/blob,1669204076.286,0.012829175550597293
put,blob,cilrate/blob,1669204076.286,NaN
putBatch,blob,cilrate/blob,1669204076.286,0.010755168344496099
get,blob,cilrate/blob,1669204083.286,0.012829175550597293
put,blob,cilrate/blob,1669204083.286,NaN
putBatch,blob,cilrate/blob,1669204083.286,0.010755168344496099
get,blob,cilrate/blob,1669204090.286,0.014178857106271562
put,blob,cilrate/blob,1669204090.286,NaN
putBatch,blob,cilrate/blob,1669204090.286,0.012115965114682724
get,blob,cilrate/blob,1669204097.286,0.014178857106271562
put,blob,cilrate/blob,1669204097.286,NaN
putBatch,blob,cilrate/blob,1669204097.286,0.012115965114682724
get,blob,cilrate/blob,1669204104.286,0.007989277230056845
put,blob,cilrate/blob,1669204104.286,NaN
putBatch,blob,cilrate/blob,1669204104.286,0.0066817347229080944
get,blob,cilrate/blob,1669204111.286,0.007989277230056845
put,blob,cilrate/blob,1669204111.286,NaN
putBatch,blob,cilrate/blob,1669204111.286,0.0066817347229080944
get,blob,cilrate/blob,1669204118.286,0.003729616710526316
put,blob,cilrate/blob,1669204118.286,NaN
